GSM,ThreadDensity,TensileStrength,Shrinkage,AirPermeability,Thickness,Quality
182,196,295,8.54,616,0.69,Low
186,69,287,5.27,566,0.25,Low
151,195,277,8.26,444,0.33,Low
268,96,487,2.98,741,0.95,Medium
100,98,319,8.4,481,0.6,Low
182,63,690,7.73,789,0.78,Low
201,192,651,2.3,352,0.6,Medium
294,50,699,1.31,155,0.6,Medium
167,166,364,8.68,562,0.18,Low
179,103,381,9.63,556,0.41,Low
231,167,668,0.31,182,0.35,Medium
210,52,934,7.31,198,0.45,Medium
229,193,206,9.1,248,0.82,Low
337,61,529,8.57,428,0.43,Medium
271,123,974,9.65,255,0.51,Medium
240,65,872,7.6,289,0.46,Medium
101,151,350,4.42,593,0.18,Low
332,166,284,3.12,362,0.5,Medium
315,57,346,3.21,179,0.28,Medium
128,171,823,7.24,499,0.27,Medium
138,141,580,7.46,708,0.18,Low
249,139,747,2.0,359,0.42,Medium
267,185,484,8.68,714,0.78,Medium
269,109,899,7.15,651,0.35,Medium
254,77,281,5.63,200,0.38,Low
130,150,713,4.72,458,0.68,Medium
134,90,908,5.43,479,0.28,Medium
323,194,722,1.59,320,0.91,High
210,190,945,2.04,519,0.57,High
214,95,585,0.91,223,0.5,Medium
100,84,906,1.54,521,0.6,Medium
246,183,670,4.54,330,0.25,Medium
168,131,318,5.3,789,0.65,Low
93,164,595,0.18,162,0.43,Low
321,96,731,7.97,584,0.91,Medium
344,59,460,2.94,727,0.25,Medium
132,105,455,9.12,673,0.56,Low
171,79,933,9.68,582,0.64,Medium
343,158,425,1.85,618,0.13,High
114,54,252,4.62,254,0.43,Low
285,168,699,0.01,191,0.76,High
160,82,705,5.98,625,0.84,Low
129,167,563,6.07,554,0.38,Low
81,114,479,2.48,697,0.82,Low
133,195,792,5.58,744,0.97,Medium
185,60,913,2.26,609,0.87,Medium
339,134,357,1.61,282,0.21,Medium
270,75,831,6.52,485,0.77,Medium
297,112,258,3.26,673,0.39,Medium
123,135,926,5.9,504,0.99,Medium
241,108,327,4.33,345,0.54,Low
281,76,935,9.84,690,0.21,Medium
349,147,920,1.5,760,0.75,High
294,154,314,4.65,749,0.39,Medium
331,148,408,6.8,570,1.0,Medium
269,178,725,3.96,522,0.98,High
292,198,720,9.75,164,0.69,High
287,104,751,7.22,112,0.22,Medium
316,55,436,6.57,312,0.72,Medium
132,144,480,7.57,341,0.18,Low
296,182,558,9.53,592,0.13,Medium
331,151,400,9.08,312,0.84,Medium
267,52,957,7.24,792,0.29,Medium
120,72,477,7.49,437,0.44,Low
236,102,434,1.46,272,0.98,Medium
94,132,693,1.03,771,0.4,Low
144,194,203,5.71,263,0.37,Low
88,134,865,0.18,564,0.93,Medium
208,127,641,4.82,596,0.2,Medium
215,159,228,2.1,799,0.78,Medium
142,50,308,3.46,494,0.99,Low
218,100,809,7.76,407,0.91,Medium
160,53,926,9.41,282,0.69,Low
242,162,274,0.72,728,0.38,Medium
340,81,345,5.34,609,0.33,Medium
310,83,327,8.83,645,0.84,Low
120,141,241,0.83,663,0.89,Low
107,144,555,8.25,723,0.57,Low
214,121,240,3.58,693,0.32,Low
280,88,233,3.22,326,0.2,Low
347,167,216,9.77,535,0.18,Medium
112,52,876,2.01,521,0.75,Low
127,172,352,6.93,653,0.48,Low
141,99,577,8.21,120,0.91,Low
295,61,787,0.41,653,0.77,Medium
178,103,798,6.7,496,0.27,Medium
251,182,828,9.52,724,0.65,Medium
293,106,541,1.24,204,0.49,Medium
114,194,226,8.96,291,0.62,Low
306,161,486,5.95,116,0.76,Medium
180,96,845,6.17,219,0.83,Medium
210,134,930,6.13,492,0.86,Medium
336,191,367,2.99,524,0.33,High
84,115,809,9.35,228,0.13,Low
297,124,467,9.47,229,0.77,Medium
334,152,948,6.25,671,0.2,High
286,87,654,7.83,659,0.38,Medium
94,99,884,6.12,128,0.1,Low
121,147,600,4.84,196,0.71,Low
258,131,675,6.61,109,0.25,Medium
142,79,901,5.53,341,0.69,Medium
310,128,833,5.97,331,0.99,High
320,140,757,7.84,383,0.17,High
131,101,775,4.81,299,0.17,Low
175,128,329,0.41,178,0.41,Low
301,79,562,1.64,272,0.88,Medium
310,155,904,4.39,566,0.29,High
316,100,892,7.25,680,0.42,High
222,130,491,5.93,515,0.16,Medium
250,182,570,6.5,548,0.79,Medium
108,78,993,4.79,186,0.47,Medium
115,181,228,6.16,200,0.78,Low
92,187,348,3.29,107,0.91,Low
239,194,978,4.7,299,0.31,High
266,123,495,7.44,604,0.83,Medium
322,66,210,8.72,186,0.15,Low
165,133,711,4.34,142,0.91,Medium
145,118,875,0.44,484,0.69,Medium
249,83,312,1.62,720,0.89,Low
124,55,386,0.21,534,0.1,Low
141,102,943,6.53,507,0.25,Medium
213,175,426,3.32,582,0.45,Medium
107,92,509,5.42,763,0.44,Low
187,164,297,4.93,116,0.3,Low
123,160,254,0.82,744,0.44,Low
207,129,822,4.03,247,0.22,Medium
310,144,863,2.21,376,0.47,High
269,167,957,4.18,331,0.82,High
304,193,605,2.04,465,0.53,High
200,57,268,8.4,327,0.12,Low
195,181,511,1.74,750,0.48,Medium
312,153,488,9.61,535,0.12,Medium
338,181,961,4.16,498,0.97,High
277,74,747,8.46,310,0.21,Medium
216,145,950,6.29,490,0.74,Medium
244,142,347,7.35,598,0.98,Medium
304,110,666,7.68,639,0.84,Medium
313,171,938,5.05,662,0.73,High
251,100,443,5.43,590,0.86,Medium
231,196,690,5.14,541,0.98,Medium
239,70,706,5.88,360,0.66,Medium
175,54,564,0.29,449,0.6,Low
312,141,681,3.96,451,0.67,High
259,110,400,6.06,619,0.58,Medium
192,71,353,5.98,419,0.67,Low
131,198,649,7.93,237,0.5,Medium
347,119,700,6.55,649,0.3,High
192,50,272,9.92,722,0.21,Low
180,182,912,2.84,467,0.16,Medium
192,61,495,3.59,319,0.34,Low
160,139,216,3.84,436,0.14,Low
266,95,840,4.66,322,0.61,Medium
192,83,416,8.36,747,0.36,Low
81,127,260,2.36,459,0.84,Low
209,94,815,7.76,428,0.17,Medium
299,122,241,4.05,562,0.3,Medium
133,75,224,6.02,660,0.76,Low
303,96,238,6.33,481,0.64,Medium
304,170,330,3.73,689,0.16,Medium
205,105,697,5.13,716,0.89,Medium
209,143,428,4.13,268,0.89,Medium
132,156,307,0.69,316,0.4,Low
251,112,371,4.37,477,0.41,Medium
297,97,634,0.97,218,0.99,Medium
239,110,677,4.05,289,0.66,Medium
277,130,301,5.93,469,0.58,Medium
326,75,723,5.79,248,0.85,Medium
282,85,474,6.63,775,0.36,Medium
263,50,812,0.95,751,0.49,Medium
202,57,243,6.52,587,0.34,Low
334,162,216,3.12,473,0.81,Medium
177,148,529,3.99,792,0.62,Medium
277,96,768,8.58,259,0.69,Medium
319,176,696,0.09,450,0.33,High
223,105,211,5.88,387,0.3,Low
176,63,517,5.99,387,0.54,Low
280,77,791,3.97,325,0.76,Medium
203,127,415,2.37,622,0.57,Medium
266,179,538,2.35,621,0.13,Medium
338,158,975,8.84,372,0.88,High
227,63,860,4.42,501,0.16,Medium
331,105,280,3.31,282,0.96,Medium
226,164,926,4.49,764,0.12,High
227,56,684,6.69,587,0.73,Medium
278,52,573,1.46,223,0.17,Medium
207,160,909,4.49,725,0.92,Medium
118,156,399,5.88,513,0.52,Low
208,67,736,9.49,271,0.22,Low
346,87,665,2.53,387,0.41,High
230,164,288,3.59,534,0.25,Medium
178,64,467,3.79,785,0.25,Low
342,168,854,6.06,212,0.95,High
331,77,770,3.57,221,0.5,High
223,88,688,5.34,643,0.81,Medium
191,66,737,7.82,321,0.68,Low
139,135,246,7.05,730,0.71,Low
81,175,487,4.46,138,0.22,Low
333,93,977,8.64,596,0.31,High
219,74,215,5.58,332,0.81,Low
116,194,910,5.4,629,0.97,Medium
239,62,600,0.34,248,0.34,Medium
88,74,993,9.87,496,0.34,Low
312,117,285,1.23,760,0.53,Medium
178,187,449,2.31,737,0.99,Medium
226,116,590,0.52,401,0.34,Medium
287,158,981,6.4,459,0.47,High
210,195,534,2.25,337,0.9,Medium
231,160,828,1.8,746,0.1,High
