GSM,ThreadDensity,TensileStrength,Shrinkage,AirPermeability,Thickness,Quality
182.0,165.0,557.0,2.69,233.0,0.41,Medium
186.0,142.0,579.0,6.54,687.0,0.13,Medium
151.0,140.0,857.0,5.34,695.0,0.59,Medium
268.0,131.0,649.0,9.44,442.0,0.45,Medium
100.0,117.0,785.0,3.96,769.0,0.19,Low
182.0,163.0,662.0,6.94,385.0,0.82,Medium
201.0,50.0,307.0,4.89,413.0,0.92,Low
294.0,107.0,321.0,5.13,705.0,0.78,Medium
167.0,158.0,216.0,2.68,396.0,0.84,Low
179.0,197.0,395.0,4.55,705.0,0.29,Medium
231.0,165.0,526.0,4.71,668.0,0.34,Medium
210.0,136.0,517.0,7.07,263.0,0.29,Medium
229.0,59.0,678.0,9.41,596.0,0.79,Low
337.0,108.0,451.0,3.29,709.0,0.95,Medium
271.0,90.0,702.0,0.42,115.0,0.75,Medium
240.0,154.0,318.0,4.96,443.0,0.89,Medium
101.0,182.0,873.0,5.44,177.0,0.67,Medium
332.0,171.0,909.0,1.68,445.0,0.45,High
315.0,194.0,697.0,7.6,171.0,0.48,High
128.0,71.0,685.0,9.85,369.0,0.17,Low
138.0,147.0,244.0,9.46,386.0,0.13,Low
249.0,117.0,513.0,1.97,165.0,0.73,Medium
267.0,188.0,378.0,8.75,167.0,0.49,Medium
269.0,105.0,617.0,7.04,292.0,0.6,Medium
254.0,198.0,755.0,4.54,154.0,0.6,High
130.0,148.0,982.0,5.41,478.0,0.35,Medium
134.0,125.0,277.0,8.5,267.0,0.53,Low
323.0,75.0,525.0,4.8,508.0,0.52,Medium
210.0,164.0,889.0,3.73,607.0,0.45,Medium
214.0,196.0,556.0,4.93,636.0,0.84,Medium
100.0,158.0,615.0,5.79,742.0,0.51,Low
246.0,96.0,714.0,1.89,201.0,0.64,Medium
168.0,120.0,413.0,9.01,521.0,0.91,Low
93.0,89.0,273.0,6.74,577.0,0.88,Low
344.0,198.0,778.0,0.99,390.0,0.34,High
132.0,181.0,708.0,6.04,587.0,0.13,Medium
171.0,72.0,531.0,1.21,260.0,0.33,Low
343.0,155.0,1168.0,0.79,772.0,0.35,Medium
114.0,133.0,887.0,5.27,177.0,0.92,Medium
285.0,192.0,856.0,4.71,137.0,0.68,High
160.0,165.0,718.0,5.89,493.0,0.17,Medium
129.0,158.0,468.0,0.89,540.0,0.22,Low
81.0,185.0,575.0,4.31,639.0,0.24,Low
133.0,90.0,203.0,1.75,561.0,0.67,Low
185.0,161.0,337.0,9.87,711.0,0.76,Low
339.0,196.0,430.0,5.61,393.0,0.87,High
270.0,161.0,799.0,6.87,499.0,0.95,Medium
123.0,95.0,609.0,0.95,191.0,0.38,Low
281.0,171.0,922.0,2.86,105.0,0.42,High
349.0,64.0,524.0,4.71,780.0,0.92,Medium
294.0,178.0,609.0,6.5,370.0,0.62,High
331.0,160.0,916.0,0.25,719.0,0.76,High
269.0,73.0,922.0,8.1,658.0,0.54,Medium
292.0,76.0,476.0,5.37,198.0,0.13,Medium
287.0,89.0,735.0,2.78,625.0,0.16,Medium
316.0,73.0,685.0,0.62,293.0,0.58,Medium
132.0,73.0,715.0,1.62,256.0,0.75,Low
296.0,53.0,351.0,8.95,765.0,0.29,Low
331.0,116.0,682.0,6.86,214.0,0.75,Medium
267.0,83.0,458.0,2.5,495.0,0.83,Medium
215.0,165.0,523.0,0.66,756.0,0.47,Medium
236.0,72.0,367.0,6.91,621.0,0.77,Low
94.0,158.0,887.0,5.72,313.0,0.46,Medium
144.0,118.0,509.0,4.05,782.0,0.71,Low
88.0,144.0,678.0,3.64,632.0,0.79,Low
208.0,111.0,255.0,2.17,114.0,0.99,Low
215.0,126.0,819.0,6.7,518.0,0.41,Medium
142.0,103.0,672.0,9.71,467.0,0.47,Low
218.0,119.0,495.0,1.76,737.0,0.25,Medium
160.0,150.0,660.0,5.97,312.0,0.28,Medium
242.0,106.0,523.0,4.24,799.0,0.72,Medium
340.0,187.0,340.0,4.47,783.0,0.93,Medium
310.0,184.0,866.0,2.54,104.0,0.46,High
120.0,152.0,461.0,8.25,330.0,0.26,Low
107.0,134.0,984.0,4.85,300.0,0.36,Medium
214.0,110.0,619.0,5.43,501.0,0.51,Medium
